Site,Initials,Group,Replicate,Area,Percent,Leopard,Green,Mink ,Bullfrog,Redback,Spotted,Wood,Peeper,Tiger
A,RV_EG,1,1,20,20,2,1,2,2,0,3,5,0,2
B,HR_DG,6,2,20,20,5,0,1,1,0,1,6,1,3
C, LK HT,8,1,40,40,7,7,3,11,2,1,8,7,4
D,MR NP,5,2,40,40,4,3,4,7,1,3,8,5,9
E,LM AC,3,1,60,60,6,5,4,10,3,2,8,0,6
F,GR_AS,2,2,60,60,7,6,9,7,4,11,7,11,9
G,"AS, JD",4,1,80,80,15,10,6,17,5,2,19,11,11
H,"BM, DS",7,2,80,80,9,5,12,8,8,11,8,15,12
