Site,Group,Initials,Leopard,Green,Mink ,Bullfrog,Redback,Spotted,Wood,Peeper,Tiger
A,1,"RV, EG",0,3,3,3,15,1,2,3,0
B,2,"GR, AS",3,1,3,4,10,4,3,0,2
C,3,"AC, LM",2,1,15,2,3,3,3,0,1
D,4,"AS, JD",2,1,1,2,2,3,2,1,16
E,5,"MR, NP",6,3,7,0,8,2,0,0,2
F,6,"HR, DG",2,1,21,0,1,1,2,1,1
G,7,"BM, DS",1,2,1,2,2,2,2,14,4
H,8,"LK, HT",5,2,3,2,3,3,2,9,1
